country,GDP,GDP per capita
Afghanistan,14583135236.5744,363.674087113049
Albania,17930565118.8176,6377.20309553753
Algeria,163472233245.77,3700.31119460857
American Samoa,709000000.0,15743.3107582991
Andorra,3325145406.77109,42072.341103463
Angola,65685435100.4986,1903.71740495688
Antigua and Barbuda,1560518518.51852,16740.3481963818
Argentina,487227125385.641,10636.1155301986
Armenia,13861409968.835,4966.51347122366
Aruba,3126019385.47486,29342.1007300268
Australia,1552703151616.01,60444.5023551978
Austria,480368403893.364,53637.7057109897
Azerbaijan,54825411764.7059,5408.04535175023
"Bahamas, The",11527600000.0,28260.4325506367
Bahrain,39303403989.3617,26860.0725018105
Bangladesh,416264802185.166,2457.92404902236
Barbados,4843800000.0,17225.4623044097
Belarus,69673747131.87,7489.71894713888
Belgium,594351961634.487,51268.3880373598
Belize,2491500000.0,6228.26730928353
Benin,17690083519.9322,1361.10074905831
Bermuda,7127200000.0,111774.669092278
Bhutan,2539551327.48291,3266.36277371286
Bolivia,40408208523.8784,3345.19658838387
Bosnia and Herzegovina,23649566069.2355,7230.19816280366
Botswana,18737066306.9659,7238.79609591086
Brazil,1649622972159.35,7696.78553127562
Brunei Darussalam,14006497000.2477,31448.9136078023
Bulgaria,84061395658.221,12222.235645941
Burkina Faso,19737616003.022,893.077195986297
Burundi,2775798697.16485,221.15780340632
Cabo Verde,2091741774.10772,3557.83777540965
Cambodia,26961061152.2979,1625.2350215138
Cameroon,45338285386.1044,1666.93280948232
Canada,2001486745423.92,52358.6216405155
Cayman Islands,6028373541.47434,88475.6008787475
Central African Republic,2516498412.31361,461.137510928519
Chad,11779981332.1599,685.690314996613
Channel Islands,11735662219.7772,67960.7269955768
Chile,316713577508.673,16247.4010150765
China,17820459342451.2,12617.5049863004
Colombia,318511813576.972,6182.70709867969
Comoros,1296089479.45824,1577.47084066118
"Congo, Dem. Rep.",55350968593.0597,577.209215199828
"Congo, Rep.",13366230821.3293,2290.38299445343
Costa Rica,64616482167.7475,12537.2567461753
Cote d'Ivoire,71811075954.676,2613.37889305378
Croatia,68843674641.2112,17747.7892862107
Curacao,2699612458.10056,17717.5964802588
Cyprus,28408064462.1856,31552.03515625
Czechia,281791218507.1,26822.5141862111
Denmark,398303272764.46,68007.7566732954
Djibouti,3372287461.80812,3050.30628163732
Dominica,555266666.666667,7668.15813216962
